Event,Group,Date (AD Year),SCA Year,Location,Address,City,Zip Code,Autocrat,Toilets,Potable Water,Showers,Camping Availability (Sq Ft),Feast Hall,Equestrian,Archery Allowed,War Field,12th Night,Site Contact,Parking Issues,Site Costs,Attendance,Site Issues,Other Information
Anniversary Banquet,Province of Golden Rivers,11/29/2008,43,Carmichael Park,5750 Grant Ave,Carmichael,95608,Anastasia Grindstead of Raven Oak,,,,no,yes,no,no,no,no,,,,,,
Yule,Barony of Selveirgard,12/6/2008,43,BSA Camp Gorsuch,23001 Camp Gorsuch Road,Chugiak,99567,Fathir von Trier,,,,,,,,,,,,,,,
Jingles Feast,Province of Southern Shores,12/6/2008,43,St. Jude the Apostle Episcopal Church,20920 McClellan Road,Cupertino,95014,Micheila MacCallum,,,,,,,,,,,,,,,
Yule  ,Barony of Winter's Gate,12/6/2008,43,North Star Council On Aging,1424 Moore St.,Fairbanks,99701,Mimm of Winter's Gate,,,,,,,,,,,,,,,
Yule,Barony of Fettburg,12/6/2008,43,Manteca Senior Center,295 Cherry Ln.,Manteca,95337,Yllaria Gyngyvere,,,,,,,,,,,,,,,
Yule Ball,Province of Silver Desert,12/6/2008,43,American Legion Hall,877 Ralston Street,Reno,89503,Gottfired Krimmelbein,,,,,,,,,,,,,,,
Yule  ,Barony of Eskalya,12/13/2008,43,Viking Hall,8141 Briarwood Street,Anchorage,99518,Anne Young,,,,,,,,,,,,,,,
Beaconsgate Boar Hunt,Province of the Mists,12/13/2008,43,Camp Herms Boy Scout Camp,1100 James Pl,El Cerrito,94530,Fearghus MacAirt,,,,,,,,,,,,,,,
Three Rivers Yule,Shire of Betony Wood,12/13/2008,43,V.F.W. Hall,8990 Kruitof Way,Fair Oaks,95628,Ximon Martillo de Cordoba,,,,no,yes,no,yes,no,no,,,,,,
Yule Feast,Barony of Rivenoak,12/13/2008,43,Thermalito Grange Hall,479 Plumas Ave.,Oroville,95965,Bran MacMurraugh,,,,,,,,,,,,,,,
St. Stephan's Day,Shire of Pavlok Gorod,12/27/2008,43,,,Kodiak,,Mairghread Dubh,,,,,,,,,,,,,,,
12th Night Coronation,Kingdom of the West  ,1/2/2009,43,Ramada Inn – Mission del Oro,13070 California 33,Santa Nella,95322,Else Hunrvogt,,,,no,yes,no,no,no,yes but small,,,,486,Not enough hotel rooms on site; restaurant was understaffed even with advance notice,
Oertha Winter Coronet / Investiture,Principality of Oertha,1/17/2009,43,University of Alaska Anchorage - Student Union in the Den,3211 Providence Drive,Anchorage,99508,Clare de Norwude,,,,,,,,,,,,,,,
Darkwood Winter Archery Tourney / Hawks' Feast,Canton of Hawk's Haven,1/17/2009,43,Machado School,15130 Sycamore Drive,Morgan Hill,95037,Randal of Camusferna,,,,No,Yes (no Kitchen),No,Yes,Tourney Field,No,,Limited,,,,
Midwinter Feast and Frolic,Barony of Tarnmist,1/17/2009,43,Silver City Moble Home Park,3860 S. Higuera,San Luis Obispo,93401,Morgana Veccheti,,,,,,,,,,,,,,,
Crosston Dance Ball,Shire of Crosston,1/24/2009,43,Los Gatos History Club,123 Los Gatos Boulevard,Los Gatos,95030,Crystal of the Westermark,,,,,,,,,,,,,,,
Lupercallia  ,Barony of Allyshia,1/31/2009,43,Masonic Hall,212 Frances Street,Ferndale,95536,Deirdre of St. Brendans,,,,,,,,,,,,,,,
Cynagua Winter Investiture,Principality of Cynagua,1/31/2009,43,Woodland Masonic Center,228 Palm Ave.,Woodland,95693,Vlad Der Grimm,,,,no,yes,no,no,no,no,Edward le Carver (Ed Caughie),,,222,,
Heart Revel,Barony of Winter's Gate,2/7/2009,43,North Pole Grange,,North Pole,,Magda Oshitkanova,,,,,,,,,,,,,,,
War Collegium,Kingdom of the West  ,2/7/2009,43,Penitencia Creek Park,3050 Berryessa Road,San Jose,95132,Rosario De la Torre,,,,,,,,,,,,,,,
Championship Tournament ,Province of Golden Rivers,2/21/2009,43,Carmichael Park  ,5750 Grant Ave,Carmichael,95608,Katrina of Yarbrough,,,,no,yes,no,no,no,no,,,,,,
Collegium  ,Barony of Selveirgard,2/21/2009,43,Mat-Su College,8295 College Drive,Palmer,99645,Etain O'Rowarke,,,,,,,,,,,,,,,
Prize Tourney  ,Canton of Montagne du Roi,2/21/2009,43,Hayes Park,,Seaside,93955,Morwynna Goch,,,,,,,,,,,,,,,
Court of Love  ,Barony of Tarnmist,2/28/2009,43,Ramona Garden Park  ,993 Ramona Ave,Grover Beach,93433,Fiametta Margherita a Lucente,,,,,,,,,,,,,,,
Annual Emeritus Feast,Shire of Mountain's Gate,2/28/2009,43,Placerville Shakespeare Club,,Placerville,,Geoffrey of Clan Fergus,,,,,,,,,,,,,,,
"Archery, Equestrian and Rapier Collegium",Kingdom of the West  ,3/7/2009,43,San Benito County Fairgrounds,9000 Airline Hwy.,Tres Pinos,95075,Zinaida Or'Shinaia,,,,,,,,,,,,,,,
Ides of March,Barony of Winter's Gate,3/14/2009,43,Wolves' Hole Keep,,Fairbanks,,Daithi' ua Conri',,,,,,,,,,,,,,,
White Shield & Mists Archery Championship,Barony of Darkwood,3/14/2009,43,San Benito County Fairgrounds,9000 Airline Hwy,Tres Pinos,95075,Rowan Buchanan,,,,,,,,,,,,,,,
March Crown,Kingdom of the West  ,3/20/2009,43,Yolo County Fairgrounds,1125 East St.,Woodland,95776,Volker von dem Walde,,,,,,,,,,,,,848,,
War Practice,Shire of Thistletorr,3/27/2009,43,,,Colusa,,Cormac Kane,,,,,,,,,,,,,,,
Day of Blood,Shire of Hrafnafjordr,3/28/2009,43,Challenger Learning Center,,Kenai,,Amber of Hranafjordr,,,,,,,,,,,,,,,
AS XV:The Event,Province of Silver Desert,3/28/2009,43,American Legion Hall,877 Ralston Street,Reno,89503,Elzbeta Korotkaia,,,,,,,,,,,,,,,
Live Chess Tourney / A&S Demo,Shire of Caldarium,3/28/2009,43,Miwok Meadows - China Camp State Park,101 Peacock Gap Trail,San Rafael,94901,Allison de Saint-Loup,,,,,,,,,,,,,,,
Mists Spring Coronet,Principality of the Mists,4/3/2009,43,Skyline Wilderness Park,2201 Imola Avenue,Napa,94559,Allen Greywolfe of Sussex,,,,,,,,,,,,,245,,
Spring Fools Tourney,Barony of Rivenoak,4/11/2009,43,Five Mile Recreation Area,Old Chico Canyon Road,Chico,95928,Siranna of Hawthorn Hall,,,,,,,,,,,,,,,
Championship and Mini-Collegium,Shire of Danegeld Tor,4/11/2009,43,Westwood Park,8100 Butternut Drive,Citrus Heights,95621,Rayna O'Donnell,,,,,,,,,,,,,,,
Gallia Commta,Shire of Bestwode,4/11/2009,43,Cottonwood Community Center,20595 Gas Point Road,Cottonwood,96022,Ryssza Polander,,,,,,,,,,,,,,,
Newcomer's Event and Tournament,Province of Southern Shores,4/11/2009,43,Calabazas Park,1201 S. Blaney Ave.,Saratoga,95129,Saeunn Egilsdottir,,,,,,,,,,,,,,,
Foam Weapon War,College of Saint Katherine's,4/12/2009,43,"Memorial Glade, UC Berkeley Campus",University Drive,Berkeley,94720,Aurelia Balorengre,,,,,,,,,,,,,,,
Viking Tournament,Shire of Mountain's Gate,4/17/2009,43,Finnon Lake Campground,9100 Rock Creek Rd,Placerville,95667,Wylowen,,,,,,,,,,,,,,,
Fantastic Fairytale Fete,Shire of Pavlok Gorod,4/18/2009,43,Nemetz Gazebo,Lake Louise Dr.,Kodiak,99615,Mairghread Dubh,,,,,,,,,,,,,,,
Baronial Championship,Barony of Vinhold,4/18/2009,43,Skyline Wilderness Park,2201 Imola Avenue,Napa,94559,Sorcha of Vinhold,,,,,,,,,,,,,,,
Games Day,Shire of Canale,4/25/2009,43,O'Bannion Park,Center Ave & Lorraine St,Dos Palos,93620,Heinrich von Melk,,,,,,,,,,,,,,,
Fool's Revel,Barony of Winter's Gate,4/25/2009,43,Boy Scout Office,,Fairbanks,,Margery Garret,,,,,,,,,,,,,,,
Collegium Occidentalis,Kingdom of the West  ,4/25/2009,43,Doubletree Hotel,1150 9th Street,Modesto,95354,Constantina von Ravenna,,,,no,yes,no,no,no,yes,,,,114,,
Beltane,Kingdom of the West  ,5/1/2009,44,Marie Hill Ranch,43700 Highway 128,Cloverdale,95425,Beli Bailey,,,,,,,,,,,,,354,,
Mists/Cynagua War,Principality of the Mists,5/8/2009,44,Ed Levin County Park,3100 Calaveras Road,Milpitas,95035,Titus Scipio Germanicus,,,,yes,,,,yes,,,,,313,,
Bride of May Revel – Vikings vs. Anglo Saxons II,Barony of Eskalya,5/16/2009,44,The Picnic Shelter at Kincaid Park,9401 Raspberry Road,Anchorage,99502,Clare de Norwude,,,,,,,,,,,,,,,
Captaincy Tourney,Shire of Crystalmist,5/16/2009,44,Mt. Shasta City Park,,Mount Shasta,,Emmerich of Vakkerfjell,,,,,,,,,,,,,,,
Cynagua Spring Coronet,Principality of Cynagua,5/22/2009,44,Plumas County Fairgrounds,204 Fairgrounds Rd,Quincy,95971,James Skalli,,,,yes,yes,yes,yes,possible,not the best location,,,,297,,
Spring Captaincy,Barony of Winter's Gate,5/23/2009,44,Moose Creek Pavilion at Pioneer Park,2300 Airport Way,Fairbanks,99701,Greteke inn Litle,,,,,,,,,,,,,,,
Far West Coronet Tournament,Palantine Barony of the Far West,5/30/2009,44,"Marek Park, Kadea Air Force Base",,Okinawa,,Bryon Ross,,,,,,,,,,,,,,,
Duchess' War,Shire of Wolfscairn,5/30/2009,44,Finley Park,1800 W College Ave,Santa Rosa,95401,Beli Bailey,,,,,,,,,,,,,,,
Archery Tourney,Shire of Teufelberg,5/31/2009,44,Diablo Bowman Archery Range,Oak Hill Lane & Gap Fire Rd ,Clayton,95471,Iosef Braun,,,,,,,Yes,,,,,,,,
Rapier Championship and Mini Collegium,Province of Golden Rivers,6/6/2009,44,Carmichael Park  ,5750 Grant Ave,Carmichael,95608,Francesca Saracini D'Polermo,,,,no,yes,no,no,no,no,,,,,,
Games Day,Shire of Wuduholt be Secg,6/6/2009,44,Florence Keller Park,3400 Cunningham Ln,Crescent City,95531,Taraneh al Basriya,,,,,,,,,,,,,,,
Turnagain Wake To Be Continued,Shire of Hrafnafjordr,6/6/2009,44,Turnagain Pass Rest Area at mile marker 59,,Kenai,,Duncan Scrymgeour,,,,,,,,,,,,,,,
Valhalla Day on the Green,Province of Silver Desert,6/6/2009,44,Cottonwood Park,801 Spice Island Dr.,Sparks,89431,Siobhan ni Seaghdha,,,,,,,,,,,,,,,
Kingdom Arts & Sciences Tournament,Kingdom of the West,6/12/2009,44,Ed Levin County Park - Spring Valley Area,3100 Calaveras Road,Milpitas,95035,Veronica da Lugano,,,,,,,,,,,,,171,,
Crown Tournament,Kingdom of the West,6/19/2009,44,Casini Ranch,22855 Moscow Rd.,Duncan Mills,95430,Juliana of Avon,,,,,,,,,,,,,560,,
July 4th Demo,Shire of Earngyld,7/3/2009,44,Sandy Beach,504 Saint Anns Avenue,Douglas,99824,Karl Helweg,,,,,,,,,,,,,,,
Summer Investiture,Principality of the Mists,7/11/2009,44,Harvest Hall,3800 Cornucopia Way,Modesto,95358,Eleonora Lucrezia del Fiore,,,,,,,,,,,,,160,,
Protectorate Tourney,Canton of Borderwinds,7/11/2009,44,Rotary Centennial Park,2625 S. College Dr. ,Santa Maria,93455,Arabella McQuharg,,,,,,,,,,,,,,,
War From the Heart,Shire of Crosston,7/12/2009,44,Penitencia Creek Park,3050 Berryessa Road,San Jose,95132,Catherine of Wessex,,,,,,,,,,,,,,,
Pas d'Arms,Province of Golden Rivers,7/18/2009,44,Carmichael Park  ,5750 Grant Ave,Carmichael,95608,Vlad Der Grimm,,,,no,yes,no,no,no,no,,,,,,
The Quest for the Devil's Woods,Shire of Teufelberg,7/18/2009,44,Roberts Region Recreation Area,10058 Skyline Blvd,Oakland,94602,Richard of Alder Tree,,,,,,,,,,,,,,,
Warlord Tourney,Province of Southern Shores,7/18/2009,44,Calabazas Park,1201 S. Blaney Ave.,Saratoga,95129,Cynthia of Southern Shores,,,,,,,,,,,,,,,
Westermark Madness,Barony of the Westermark,7/24/2009,44,Ed Levin County Park,3100 Calaveras Road,Milpitas,95035,Ida Kniepinwirtin,,,,,,,,,,,,,,,
Championship Tournament ,Barony of Fettburg,8/8/2009,44,Manteca Senior Center,295 Cherry Ln.,Manteca,95337,Zaid al-fallah hajji,,,,,,,,,,,,,,,
Debardchery,Shire of Cloondara,8/8/2009,44,"Archery Range, Golden Gate Park",47th Ave. & Fulton St.,San Francisco,94121,Sebastiano da Siena,,,,,,,,,,,,,,,
Purgatorio,Kingdom of the West,8/13/2009,44,Ruth Arcand Park,3900 Abbot Rd,Anchorage,99507,Caitriona inghean ui Chionaodha,,,,,,,,,,,,,,,
Shire War or the Faux Pas,Shire of Teufelberg,8/21/2009,44,Camp Herms Boy Scout Camp,1100 James Pl,El Cerrito,94530,Ysabella Dolfin,,,,,,,,,,,,,,,
The Borgia Feast,Canton of Caer Darth,8/22/2009,44,Santa Cruz Masonic Lodge,828 North Branciforte Avenue,Santa Cruz,95062,Norinna O'Shaughnessy,,,,,,,,,,,,,,,
How to Host a War,Barony of Darkwood,8/28/2009,44,San Benito County Fairgrounds,9000 Airline Hwy,Tres Pinos,95075,Jared Galen,,,,,,,,,,,,,,,
Ducal Prize,Kingdom of the West,9/4/2009,44,Yolo County Fairgrounds,1125 East St.,Woodland,95776,Flidais ni Eitigen,,,,,,,,,,,,,,,
Harvest Captaincy,Barony of Winter's Gate,9/5/2009,44,Moose Creek Pavilion at Pioneer Park,2300 Airport Way,Fairbanks,99701,Cera bec-fael inghena Corbbi,,,,,,,,,,,,,,,
Esfenn Feast of Fine Arts and First Sword Tourney,Shire of Esfenn,9/12/2009,44,Los Cerritos community Park,377 Alder Ave,Fremont,94536,Alys Sheffield,,,,,,,,,,,,,,,
Collegium and Championship,Province of Silver Desert,9/12/2009,44,Red Rock Equestrian Trainin Center,,Red Rock,89506,Elzbeta Korotkaia,,,,,,,,,,,,,,,
The EverBeach War,Shire of Fendrake Marsh,9/18/2009,44,Boy Scout Camp,,Silver Springs,,Lars Golbjorn,,,,,,,,,,,,,,,
Championship Tournament ,Barony of Rivenoak,9/19/2009,44,Bille Park,501 Billie Park,Paradise,95969,Gregory of St. Albans,,,,,,,,,,,,,,,
Baroness' Masked Ball,Barony of Darkwood,9/19/2009,44,Santa Cruz Masonic Lodge,828 North Branciforte Avenue,Santa Cruz,95062,Ghislaine d'Auxerre,,,,,,,,,,,,,,,
Mists Bardic,Principality of the Mists,9/26/2009,44,St. Jude the Apostle Episcopal Church,20920 McClellan Road,Cupertino,95014,Ghislaine d'Auxerre,,,,,,,,,,,,,51,,
October Crown,Kingdom of the West,10/2/2009,44,Ed Levin County Park,3100 Calaveras Road,Milpitas,95035,Castellana del mar,,,,,,,,,,,,,589,,
Michaelmas Feast,Barony of Winter's Gate,10/10/2009,44,The Dogmusher's Hall,925 Farmer's Loop Rd.,Fairbanks,99709,Margery Garret,,,,,,,,,,,,,,,
Mist Fall Coronet,Principality of the Mists,10/16/2009,44,Ed Levin County Park,3100 Calaveras Road,Milpitas,95035,Etain du Pommier,,,,,,,,,,,,,202,,
Collegium,Barony of Eskalya,10/17/2009,44,Jewel Lake Parish,3833 Strawberry Rd.,Anchorage,99502,Celestria Textrix,,,,,,,,,,,,,,,
Prize Tourney  ,Shire of Danegeld Tor,10/17/2009,44,Rusch Park,7301 Antelope Rd.,Citrus Heights,95621,Volker von dem Walde,,,,,,,,,,,,,,,
Harvest Feast,Shire of Wuduholt be Secg,10/17/2009,44,Del Norte County Fairgrounds,421 Highway 101,Crescent City,95531,Bethany of Ashwood,,,,,,,,,,,,,,,
Collegium Occidentalis,Kingdom of the West,10/23/2009,44,Doubletree Hotel SFO Airport,835 Airport Blvd.,Burlingame,94010,Vyncent atte Woodgate,,,,,,,,,,,,,78,,
Stone Soup Feast,Shire of Bestwode,10/24/2009,44,Anderson River Park,2800 Rupert Road,Anderson,96007,Cathal MacClay,,,,,,,,,,,,,,,
Rumble in the Jungle,Palantine Barony of the Far West,10/24/2009,44,Glory International Cshool,33 Wachiratham Sathit 18,"Bang Na, Bangkok",,Saito Takauji,,,,,,,,,,,,,,,
Newcomer's Feast,Shire of Pavlok Gorod,10/24/2009,44,St. Paul Lutheran Churgh,3077 East Rezanof Drive,Kodiak,99615,Rowena de la Flores,,,,,,,,,,,,,,,
Fall Coronet,Principality of Cynagua,10/30/2009,44,Yolo County Fairgrounds,1125 East St.,Woodland,95776,Ahmad ibn Salim al-Hasib,,,,,,,,,,,,,459,,
Cynagua-Mists War,Principality of Cynagua,11/6/2009,44,San Luis Creek Campground,31426 Gonzaga Rd,Gustine,95322,Maghnus mac an Ghabhann,,,,,,,,,,,,,,,
Time for Tewder,Barony of Eskalya,11/14/2009,44,First United Methodist Church,725 W. 9th Ave.,Anchorage,99501,Alienor FitzHenry,,,,,,,,,,,,,,,
All Hallows Feast,Barony of Vinhold,11/14/2009,44,St. Mary's Episcopal Church,1917 Third St.,Napa,94559,Aurelia de Montfort,,,,,,,,,,,,,,,
Anniversary Banquet,Province of Golden Rivers,11/28/2009,44,La Serra Community Center,5325 Engle Rd. Suite 700,Carmichael,95608,Moira O'Connor,,,,,,,,,,,,,,,
Yule,Barony of Selviergard,12/5/2009,44,BSA Camp Gorsuch,23001 Camp Gorsuch Road,Chugiak,99567,Heleyne of Avebury,,,,,,,,,,,,,,,
Yule,Barony of Fettburg,12/5/2009,44,Manteca Senior Center,295 Cherry Ln.,Manteca,95337,Umm Jibril Munisa bint al-Nadr,,,,,,,,,,,,,,,
Yule Feast,Barony of Rivenoak,12/5/2009,44,Thermalito Grange Hall,479 Plumas Ave.,Oroville,95966,Tsura of Rivenoak,,,,,,,,,,,,,,,
Juvenalia,Province of Southern Shores,12/5/2009,44,First Christian Church of San Jose,S. 5th Street,San Jose ,95112,Vashti of House Archer,,,,,,,,,,,,,,,
Yule,Barony of Eskalya,12/12/2009,44,University of Alaska,3211 Providence Drive,Anchorage,99508,Lilandra of Sheep Rock,,,,,,,,,,,,,,,
Beaconsgate Boar Hunt,Province of the Mists,12/12/2009,44,Camp Herms Boy Scout Camp,1100 James Pl,El Cerrito,94530,Edith deLaufare,,,,,,,,,,,,,,,
Yule,Barony of Allyshia,12/19/2009,44,Mad River Grange,110 Hatchery Road,Blue Lake,95525,Iacobo ibnDaoud,,,,,,,,,,,,,,,
3 Rivers Yule,Shire of Betony Wood,12/19/2009,44,V.F.W. Hall,8990 Kruitof Way,Fair Oaks,95628,Ximon Martillo de Cordoba,,,,,,,,,,,,,11,,
Yule,Barony of Winter's Gate,12/19/2009,44,Tanana Valley State Fairgrounds,1800 College Road,Fairbanks,99701,Griffin Garret,,,,,,,,,,,,,,,
Yule,Barony of Tarnmist,12/19/2009,44,Ramona Garden Park  ,993 Ramona Ave,Grover Beach,93433,Veronica da Lugano,,,,,,,,,,,,,,,
Yule,Province of Silver Desert,12/19/2009,44,South Valley Branch Library,15650A Wedge Parkway,Reno,89511,Daniel de Blare,,,,,,,,,,,,,,,
St. Stephen's Day,Shire of Pavlok Gorod,12/26/2009,44,St. James the Fisherman Episcopal Church,421 Thorsheim,Kodiak,99615,Mairghread Dubh inghean Alasdair,,,,,,,,,,,,,,,
Twelfth Night Coronation,Kingdom of the West,1/9/2010,44,Concord Hilton Hotel,1970 Diamond Blvd.,Concord,94520,Aminah al-Zahara,,,,,,,,,,,,,531,,
Coronet / Investiture,Principality of Oertha,1/16/2010,44,Eagle River Lion's Club,Eagle River Rd & E Eagle River Loop Rp,Eagle River,99577,Elizabeth deGresse,,,,,,,,,,,,,,,
Hawks Feast,Canton of Hawk's Haven,1/16/2010,44,Machado School,15130 Sycamore Drive,Morgan Hill,95037,Randal of Camusferna,,,,,,,,,,,,,,,
Lupercallia,Barony of Allyshia,1/30/2010,44,Masonic Hall,212 Frances Street,Ferndale,95536,Deirdre of St. Brendans,,,,,,,,,,,,,,,
Dance Ball,Shire of Crosston,1/30/2010,44,Los Gatos History Club,123 Los Gatos Boulevard,Los Gatos,95030,John Theophilous,,,,,,,,,,,,,,,
Investiture,Principality of Cynagua,1/30/2010,44,Woodland Masonic Center,228 Palm Ave.,Woodland,95693,Cilean Stirling,,,,,,,,,,,,,165,,
War Collegium,Kingdom of the West,2/6/2010,44,Penitencia Creek Park,3050 Berryessa Road,San Jose,95132,Titus Germanicus,,,,,,,,,,,,,59,,
Misery Loves Company,Barony of Rivenoak,2/13/2010,44,Thermalito Grange Hall,479 Plumas Ave.,Oroville,95965,Francis Bull of Kent,,,,,,,,,,,,,,,
Prize Tournament,Canton of Montaigne du Roi,2/20/2010,44,Fort Ord Military Boy Scout Hut,4243 Gigling Road,Seaside,93955,Caterina di Genova,,,,,,,,,,,,,,,
Championship Tournament,Province of Golden Rivers,2/27/2010,44,Carmichael Park  ,5750 Grant Ave,Carmichael,95608,Morwenna of Tintagel,,,,no,yes,no,no,no,no,,,,,,
Heart's Revel,Barony of Winter's Gate,2/27/2010,44,International Brotherhood of Electrical Workers Hall,2000 Airport Way,Fairbanks,99701,Ellisif a Reikiavik,,,,,,,,,,,,,,,
Court of Love,Canton of Borderwinds,2/27/2010,44,Ramona Garden Park  ,993 Ramona Ave,Grover Beach,93433,Jena Whitehart,,,,,,,,,,,,,,,
Oerthan Progress,Principality of Oertha,3/6/2010,44,First United Methodist Church,725 W. 9th Ave.,Anchorage,99501,Caitriona inghean ui Chionaodha,,,,,,,,,,,,,,,
Rapier Tournament,Shire of Cloondara,3/7/2010,44,Golden Gate Park - Archery Field,998 47th Ave,San Francisco,94121,Art mac Ceallaigh,,,,,,,,,,,,,,,
White Shield,Barony of Darkwood,3/13/2010,44,San Benito County Fairgrounds,9000 Airline Hwy,Tres Pinos,95075,Astridh i skog,,,,,,,,,,,,,,,
Crown Tournament,Kingdom of the West,3/16/2010,44,Yolo County Fairgrounds,1125 East St.,Woodland,95776,E'tain ingen Chellaig,,,,,,,,,,,,,808,,
Collegium Martialis,Palantine Barony of the Far West,3/20/2010,44,Sri Satchanalai Historical Park,1401 Grayson Avenue,Sri Satchanalai,,Klemet St. Christoph,,,,,,,,,,,,,,,
Falcons Treaty,Canton of Caer Darth,3/27/2010,44,Ed Levin County Park,3100 Calaveras Road,Milpitas,95035,Seaghdha Cameron,,,,,,,,,,,,,,,
Baronial Coronet Tournament,Palantine Barony of the Far West,4/3/2010,44,Camp Zama,,Tokyo,,Black Harry,,,,,,,,,,,,,,,
Fools Revel / Selviergardain Day,Barony of Selviergard,4/3/2010,44,Meadow Lakes Community Center,N Boundary St.,Wasilla,99654,Trava of the West,,,,,,,,,,,,,,,
Coronet Tournament,Principality of the Mists,4/9/2010,44,San Benito County Fairgrounds,9000 Airline Hwy,Tres Pinos,95075,Anne FitzRichards,,,,,,,,,,,,,197,,
Championship Tournament,Shire of Danegeld Tor,4/10/2010,44,Rusch Park,7301 Antelope Rd.,Citrus Heights,95621,Sorcha Fhionn inghean ui/Ruairc,,,,,,,,,,,,,,,
Fantastic Fairytale Fete,Shire of Pavlok Gorod,4/17/2010,44,Nemetz Gazebo,Lake Louise Dr.,Kodiak,99615,Mairghread Dubh inghean Alasdair,,,,,,,,,,,,,,,
Newcomers Tourney,Province of Southern Shores,4/17/2010,44,Calabazas Park,1201 S. Blaney Ave.,Saratoga,95129,Vashti of House Archer,,,,,,,,,,,,,,,
Sheep's Raid,College of St. Brendan,4/23/2010,44,Elk River Boy Scout Camp,4200 Wrigley Road,Eureka,95503,Ivar Invarsson,,,,,,,,,,,,,,,
Equestrium,Kingdom of the West,4/23/2010,44,Skyline Wilderness Park,2201 Imola Avenue,Napa,94559,Marguerite du Royon,,,,,,,,,,,,,,,
Fool's Revel,Barony of Winter's Gate,4/24/2010,44,BSA Office Building,1400 Gillam Way,Fairbanks,99701,Margery Garret,,,,,,,,,,,,,,,
Baronial Championship,Barony of Vinhold,4/24/2010,44,Skyline Wilderness Park,2201 Imola Avenue,Napa,94559,Serena Amerelli,,,,,,,,,,,,,,,
Newcomers Tourney,Barony of Rivenoak,4/24/2010,44,Bille Park,501 Billie Park,Paradise,95969,Thor Stagge,,,,,,,,,,,,,,,
Beltane,Kingdom of the West,4/30/2010,45,Marie Hill Ranch,43700 Highway 128,Cloverdale,95425,Allison de Saint-Loup,,,,,,,,,,,,,381,,
Mists/ Cynagua War,Principality of the Mists,5/14/2010,45,Skyline Wilderness Park,2201 Imola Avenue,Napa,94559,Francisco de Salamanca,,,,,,,,,,,,,293,,
Spring Captaincy,Barony of Winter's Gate,5/21/2010,45,Tanana Valley State Fairgrounds,1800 College Road,Fairbanks,99701,Magdalena Georg'eva Oshitkova,,,,,,,,,,,,,,,
Ice Saints/Beltane,Shire of Earngyld,5/21/2010,45,Eagle Beach State Recreation Area,26 Glacier Highway,Juneau,99801,Mary of the White Wolves,,,,,,,,,,,,,,,
New Beginings Feast,Shire of Bestwode,5/22/2010,45,Anderson River Park - Gazebo,2800 Rupert Road,Anderson,96007,Deidre of Wexford,,,,,,,,,,,,,,,
Mists Spring Investiture,Principality of the Mists,5/22/2010,45,Saint Mark's Episcopal Church,1957 Pruneridge Ave,Santa Clara,95050,Na'arah ba Avraham,,,,,,,,,,,,,135,,
Spring Coronet,Principality of Cynauga,5/28/2010,45,,2331 Silver Creek Rd.,Meadow Valley,95956,James Skalli,,,,,,,,,,,,,224,,
Duchess' War,Shire of Wolfscairn,6/5/2010,45,Finley Park,1800 W College Ave,Santa Rosa,95401,Beli Bailey,,,,,,,,,,,,,,,
Arts & Sciences Tournament,Kingdom of the West,6/11/2010,45,Ed Levin County Park,3100 Calaveras Road,Milpitas,95035,Saeunn Egilsdottir,,,,,,,,,,,,,200,,
Summer Tournament,Province of Silver Desert,6/12/2010,45,Cottonwood Park,801 Spice Island Dr.,Sparks,89431,Daniel deBlare,,,,,,,,,,,,,,,
June Crown,Kingdom of the West,6/18/2010,45,San Benito County Fairgrounds,9000 Airline Hwy,Tres Pinos,95075,Volker von dem Walde,,,,,,,,,,,,,404,,
Cynaguan Summer Investiture,Principality of Cynauga,7/10/2010,45,Unitarian Universalist Fellowship of Northern Nevada,780 Del Monte,Reno,89511,Daniel deBlare,,,,,,,,,,,,,133,,
Summer Coronet,Principality of Oertha,7/16/2010,45,Dogmusher's Association Hall ,925 Farmer's Loop Rd,Fairbanks,99709,Iosa,,,,,,,,,,,,,,,
Westermark Mad Science Madness,Barony of the Westermark,7/16/2010,45,Ed Levin County Park - Elm Group Area,3100 Calaveras Road,Milpitas,95035,Brynhildr Vilhjalmsdottir,,,,,,,,,,,,,,,
27th Annual Protectorate Tournament,Canton of Borderwinds,7/17/2010,45,Waller County Park,300 Goodwin Rd.,Santa Maria,93454,Jena Whitehart,,,,,,,,,,,,,,,
Southern Shores Warlord Tourney and Demo,Province of Southern Shores,8/6/2010,45,Santa Clara County Fairgrounds,344 Tully Rd,San Jose,95111,Cynthia de Mithamroad,,,,,,,,,,,,,,,
Mid-Summer Festival,Barony of Rivenoak,8/6/2010,45,Twain General Store,130 Twain Store Rd,Twain,95984,Hyme MacMillan,,,,,,,,,,,,,,,
Mid-Summer Night Feast and Baronial Championship,Barony of Fettburg,8/7/2010,45,Manteca Senior Center,295 Cherry Ln.,Manteca,95337,Brenna Bethan,,,,,,,,,,,,,,,
Day in the Park,Barony of Tarnmist,8/7/2010,45,Nipomo Regional Park,918 West Taft St,Nipomo,93444,Veronica da Lugano,,,,,,,,,,,,,,,
Vinhold/Westermark War,Barony of Vinhold,8/14/2010,45,Skyline Wilderness Park,2201 Imola Avenue,Napa,94559,Alianora of Primrose,,,,,,,,,,,,,,,
Celtic Games and Festival,Barony of Eskalya,8/21/2010,45,Pena Sports Park,Boundary Ave & Frontage Rd.,Anchorage,99504,Elspeth Bouchannane,,,,,,,,,,,,,,,
